id,name,type,from_node_id,to_node_id,travel time,cost,capacity
1,moving,1,8,9,1,0.5,1
2,moving,1,9,8,1,0.5,1
3,moving,1,9,10,1,0.5,1
4,moving,1,10,9,1,0.5,1
5,moving,1,10,11,1,0.5,1
6,moving,1,11,10,1,0.5,1
7,moving,1,11,12,1,0.5,1
8,moving,1,12,11,1,0.5,1
9,moving,1,12,13,1,0.5,1
10,moving,1,13,12,1,0.5,1
11,moving,1,13,14,1,0.5,1
12,moving,1,14,13,1,0.5,1
13,moving,1,14,15,1,0.5,1
14,moving,1,15,14,1,0.5,1
15,handling,2,8,16,5,5,1
16,handling,2,8,24,4,4,1
17,handling,2,9,17,5,5,1
18,handling,2,9,25,4,4,1
19,handling,2,10,18,5,5,1
20,handling,2,10,26,4,4,1
21,handling,2,11,19,5,5,1
22,handling,2,11,27,4,4,1
23,handling,2,12,20,5,5,1
24,handling,2,12,28,4,4,1
25,handling,2,13,21,5,5,1
26,handling,2,13,29,4,4,1
27,handling,2,14,22,5,5,1
28,handling,2,14,30,4,4,1
29,handling,2,15,23,5,5,1
30,handling,2,15,31,4,4,1
31,recovery,3,16,8,1,0,1
32,recovery,3,24,8,1,0,1
33,recovery,3,17,9,1,0,1
34,recovery,3,25,9,1,0,1
35,recovery,3,18,10,1,0,1
36,recovery,3,26,10,1,0,1
37,recovery,3,19,11,1,0,1
38,recovery,3,27,11,1,0,1
39,recovery,3,20,12,1,0,1
40,recovery,3,28,12,1,0,1
41,recovery,3,21,13,1,0,1
42,recovery,3,29,13,1,0,1
43,recovery,3,22,14,1,0,1
44,recovery,3,30,14,1,0,1
45,recovery,3,23,15,1,0,1
46,recovery,3,31,15,1,0,1
